text,Pattern Category
FLASH SALE | LIMITED TIME ONLY Shop Now,6
In demand,3
Hurry! Only 2 left in stock,3
In Stock only 3 left,3
Hurry! Only 2 left,3
ONLY 8 LEFT,3
OUR BEST SELLING GOGGLE,1
"1,142 people have added to cart recently",5
Limited Availability,3
No thanks. I don't like free things...,1
"Michael in Pontiac, United States purchased a  ",5
9 people are viewing this.,5
"894 Claimed! Hurry, only a few left!",3
77 PEOPLE LIKE THIS,5
4 items left,3
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,6
Offer ends in,6
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",5
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,5
24 sold in last 24 hours.,5
Only 7 left in stock.,3
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,5
1 in Stock,3
Low Stock Alert: Only 8 left in inventory,3
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",5
I don't feel lucky,1
Only 3 items left,3
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",5
45 ADDED TO BAG IN THE PAST 24 HOURS,5
87% offers claimed. Hurry up!,3
HURRY! £32.99 UK DELIVERY ENDS SOON,6
ONLY 3 LEFT,3
8 items left,3
19 people viewed this product per day,5
96 ITEM(S) LEFT IN STOCK!,3
Only 1 left In Stock,3
Availability: Only 4 Left!,3
Your order is reserved for 09:54 minutes!,6
This size has only 1 left in stock,3
HOT PRODUCT Over 250 people are looking at this item.,5
I don't want to save money,1
HURRY! ONLY 2 LEFT IN STOCK!,3
DEAL ENDS IN 40:55:13,6
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,5
Only 1 Left,3
Only 33 left,3
"Hurry, only a few left!",3
Only 11 left!,3
Hurry! Only 6 left in stock,3
40 users are currently active on our website just now.,5
90% offers claimed. Hurry up!,3
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",5
7 people looked at this product in the last 24 hours.,5
18 In Stock,3
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,5
00:15:07:45,6
"No, I'll rather pay full price.",1
Only 9 Left.,3
1 person is viewing this,5
Your order is reserved for 09:14 minutes! ,6
Limited time remaining!,6
"No thanks, I'll pay full price",1
Only 7 left in stock!,3
Only 5 item(s) left.,3
(only 5 left),3
I'll Shop Without A Discount,1
Only 11 Left In Stock,3
Bought by 39 people in last few hours! HOT SELLER!,5
Your order is reserved for 08:48 minutes!,6
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,6
Only 1 Item(s) left,3
Discount pending $10 OFF 00:30:00,6
Limited Time: $10 Off! Discount Reflected In Price!,6
IN 43 PEOPLE'S SHOPPING BAG,5
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,6
"BERNARD in Philadelphia, United States purchased a",5
"NO THANKS, I DON’T MIND MISSING OUT",1
"Hurry, only 1 left!",3
Only 26 Left,3
7 sold in last 24 hours,5
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,6
HURRY UP > 09H 42M 39S,6
"Someone in Sasebo, Japan just bought",5
80 Customers are considering this product right now.,5
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,5
ONLY 2 LEFT IN STOCK!,3
Only few items left in stock,3
Only 1.75 yards left in stock!,3
71 people have purchased this item,5
Only 8 left,3
Subscribe & Save,1
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",5
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",5
00DAYS00HOURS14MINUTES21SECONDS,6
Hurry! Only 1 left in size M!!,3
Items in your cart are in high demand.,3
Limited stock Only 2 left,3
Over 500 left in stock,3
Hurry up! 6 people other than you have this product in their cart,5
1 LEFT,3
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,5
I do not want to protect my item,1
Add to Your Gift and We'll Ship it For Free!,1
"25,439 people have viewed this item",5
No thanks I definitely measured correctly,1
57 PEOPLE HAVE LOOKED AT THIS TODAY,5
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,5
"Before you check out, can we tempt you?",1
"When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.",2
Limited quantity remaining,3
"128 sold today! Hurry, only a few left!",3
4 people are looking at this right now.,5
"No thanks, I dont want a discount",1
"Someone from Portland, United States (US) purchased MODALERT recently.",5
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,6
2 people are viewing this,5
HURRY! ONLY 1 IN STOCK!,3
LAST CHANCE TO ACTIVATE 10% OFF,3
Your order is reserved for 09:45 minutes!,6
only 5 left,3
78 Persons looking for this product,5
227 Bought Already,5
Hurry! Only Limited Items Left,3
Strong demand! Complete your order before it's too late!,3
Your order is reserved for 09:56 minutes!,6
"Sudha rana from Jaipur bought this product, 23 Mins ago.",5
6 others have already bought this deal today!,5
"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year, for membership rewards and discounts. At the end of the introductory period, you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed, simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee, less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority, we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness, courtesy and efficiency possible.",2
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",6
"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",5
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",5
"803 Claimed! Hurry, only a few left!",3
"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",5
Only 2 left!,3
3 PEOPLE VIEWING,5
"No thanks, I’d rather pay full price.",1
Shipping Insurance Remove Insurance,4
No thanks. I don’t want deals.,1
Add and save!,1
RECENTLY VIEWED 2 others viewed this in the last few hours,5
2 viewed per hour,5
1 other customers have this item in their shopping cart,5
ONLY A FEW LEFT IN STOCK,3
1day21:04:58,6
Stock Low : 6 items left.,3
"NO, I'LL PAY FULL PRICE",1
"HURRY, LOW IN STOCK!",3
Only 4 copies left,3
2 LEFT,3
2 DAYS 13:06:13,6
5338 people bought this,5
2 left in stock,3
"6,743 people have viewed recently",5
Selling fast!,3
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,6
111 people have purchased this item,5
Your order is reserved for 09:58 minutes!,6
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,6
"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",4
1626 people seeing this product right now,5
Only 1 left in Stock,3
0 Days 2 Hours 57 Minutes 53 Seconds,6
Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,5
Only 34 Left!,3
"William in Pago Pago, United States purchased a",5
"No thanks, I don’t like fun and games.",1
"PROTECT YOUR SOFA! Your Humblebum Sofa in Thatch house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages, messy TV dinners, and other disasters for just just £80?",1
"HURRY, ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35",6
LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,6
OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds,6
113 people have viewed in the last 24hrs,5
"Jamie in Nashville, United States purchased",5
"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",5
Don't miss out! We've sold 38 in the last few days.,5
"No, thank you. I prefer to pay the full price",1
"No Thanks, I don't like exclusive deals.",1
"No thanks, I'd like 0% off",1
Uncheck the box if you prefer not to receive email updates.,1
"No Thanks, I Don't Want a Free Gift",1
This item is in high demand.,3
ONLY 1 LEFT! GET IT NOW!,3
"Our most recent customers are from New Rochelle, Roseville, and Brooksville",5
ONLY 4 LEFT,3
Limited quantity! ,3
DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,1
Hurry! Only 15 left!,3
Only a few more left!,3
0011Days:0088Hours:4411Minutes:21125445Seconds,6
69 people are viewing this,5
Only 4 items left in stock.,3
"No Thanks, I Prefer Paying Full Price",1
"Ends in 1 Days, 4 Minutes, 44 Seconds",6
In Stock - Limited Quantity,3
Only 8 left in stock. Almost Gone!,3
"Limited time only: FREE SHIPPING on all orders, no minimum required!",6
"No thanks, I don't like promotions and exclusive content.",1
10 Left,3
Only 2 left,3
3Days01:49:51 Left,6
Your order is reserved for 07:28 minutes!,6
OH SO POPULAR! 21 bought in the last 7 days.,5
"No Thanks, I'll Pay Full Price",1
2 customers recently bought it,5
Only 1 left in stock,3
Only 1 left in stock! Get in quick!,3
You left 2 items in your bag Released in: 29 minutes :07 seconds,6
7 people have it in their cart,5
Pre-order 3 left,3
Offer ends in 15hrs 1min 56sec!,6
"Hurry, this style is selling fast!",3
"Hurry, only 3 left!",3
FREE NECKLACE FOR MOM 01Days 01Hrs 35Mins 02Secs,6
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",6
"No thanks, I don't like discounts",1
Going Fast: Limited Quantities Left!,3
"You may cancel your JustFab VIP Membership at any time. There is absolutely no cancellation fee. If you would like to continue receiving selections, then just skip the month by clicking Skip This Month in your Boutique between the 1st and the 5th of the month. You won't be charged and no member credit will be generated for you. If you no longer want to skip the month, then call our Fashion Consultants on 020 36953830 (local rate) Mon-Fri 8:00AM to 8:00PM and Sat-Sun 10:00AM to 6:00PM or cancel your membership via chat.",2
Only 498 left,3
Over 38 bought,5
Hurry! Only a few of these left,3
Only 2 Left!,3
only 2 left,3
Only 1 Item Left!,3
HAUTELOOK 04:53,6
Only 1 item left,3
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,6
85 have it in their cart,5
"If you wish to cancel your subscription, you can email us at getflat@flattummyco.com",2
No thanks. I'd rather pay full price.,1
Only 3 pieces in stock!,3
ONLY 3 LEFT IN STOCK.,3
"Members may cancel their Membership at any time during their Membership term and receive a full refund, less any benefits/savings received in their current Membership term (for example, Buyer’s Club Discounts received or free shipping). Refunds for completed years completed will not be made, even if the Member did not use any of the benefits during the Membership term. To cancel your membership, please contact our customer service department by contacting us at 1-800-375-3006.",2
"no thanks, I'll save money another day",1
"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",5
Only 2 Left In Stock,3
LIMITED TIME ONLY!,6
"Now 30% off - hurry, limited time offer!",6
HURRY! Only a few left in stock!,3
"No Thanks, I rather pay full price",1
Someone from Airdrie & 10820 others bought this item recently.,5
52 people are looking at this right now.,5
1 day 08:15:25,6
"estiven in Deer Park, United States purchased PreWash™ 4 oz",5
"Oscar from Cajamarca, Peru purchased",5
Only 3 Left,3
ONLY 1 REMAINING,3
Necessary Protection..,1
Someone in Spain purchased,5
LIMITED QUANTITY,3
02:06:40 left to buy,6
Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),5
"NO THANKS, I'll PAY FULL PRICE",1
13 people have added this to their cart,5
Last chance! Only 1 left,3
"YOU MAY CANCEL YOUR WINE CLUB MEMBERSHIP OR ANY HOLIDAY SHIPMENTS AT ANY TIME BY CONTACTING US AT 1-877-975-9463, AND WE WILL PROMPTLY STOP PROCESSING THE RECURRING PAYMENTS.",2
Sale ends soon:,6
Only 16531 items left in stock!,3
Want a special deal? Bundle and SAVE UPTO30%,1
4 people have purchased this item,5
Only 3 Left!,3
We only have few stocks left for this product. Please don't miss the chance.,3
Your order is reserved for 09:35 minutes!,6
LIMITED TIME ONLY *on select models,6
BE QUICK 00:57:33 DON'T MISS OUT,6
35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35 - HURRY! ENDS IN  16H 59M 06S,6
LOGIN/REGISTER,1
00Days17Hours12Mins13Secs,6
3 people are looking at this item right now,5
"Someone from Menlo Park, California just purchased Electric Skateboard Motor 6374 190KV.",5
"Hurry, Limited Time Offer! 11:25",6
"We'd like to keep you informed via email about product updates, upgrades, special offers and pricing. If you do not wish to be contacted via email, please ensure that the box is not checked.",1
Only 2 stock available,3
Hurry! Only 3 Left In Stock.,3
"◊After 1 year, subscription auto renews with fee. Review your iFit® Coach account on a computer, tablet, smartphone, or equipment console.",4
"No Thanks, I Don't Want a Discount",1
"WOULD YOU LIKE A FREE NEXT DIRECTORY? Explore all the latest collections from your free Next Directory. By opting in to receive the Next Directory you agree that we may send you, at our discretion, further Directories usually in January and July each year, at a charge of £3.75 per publication. You also agree to receive supplementary Directories and ‘New In’ publications at no additional charge.",4
I'd rather pay full price,1
Hurry up! Sales Ends in DAYS HRS MINS SECS by Beeketing ,6
Only 8 items left in stock!,3
ONLY 1 LEFT IN STOCK!,3
Subscribe & Save (15%): $ 16.99,1
FRAMON #2 Code Machine Offer - Limited time offer!,6
Limited stock!,3
Hurry! Only 2 left in stock!,3
SLEEP EVENT OFFERS - LIMITED TIME ONLY,6
Only 1 left in Stock!,3
"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",5
Only 3 left In Stock,3
Enjoy FREE shipping with WSJwine Advantage,4
only 2 left!,3
Only 1 in stock,3
Only 8 item(s) left.,3
Spring Sale Extended,6
"No, I don't want a discount",1
"No thanks, I don't want the free gift.",1
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,5
SAVE $300.00\nfor limited time,6
"[NO THANKS, I'LL JUST WALK]",1
Currently 8 left in stock.,3
"NO, I DON'T FEEL LUCKY",1
Currently less than 10 available,3
Ends Sunday! $200 off any mattress . free shipping & free returns!,6
Only 8 left!,3
Only 1 items left in stock!,3
9 people are currently viewing this product,5
ONLY 1 WATCH LEFT,3
2+ people just viewed this product,5
94% offers claimed. Hurry up!,3
I'D RATHER PAY FULL PRICE,1
*** Get 50% Off Your 2nd Case OR a Canopy Screen Protector *** A 50% OFF discount will be automatically applied to the lowest priced item in your cart when you check out with more than one item! (excludes Clearance items) Click to Choose Another Item,1
Purchase protection added,4
